sample	cell	drug	dose	time	tissue
A549_lapatinib_0nM_24h	A549	lapatinib	0nM	24h	Lung
ACHN_lapatinib_0nM_24h	ACHN	lapatinib	0nM	24h	Renal
BT-549_lapatinib_0nM_24h	BT-549	lapatinib	0nM	24h	Breast
CAKI-1_lapatinib_0nM_24h	CAKI-1	lapatinib	0nM	24h	Renal
COLO-205_lapatinib_0nM_24h	COLO-205	lapatinib	0nM	24h	Colon
DU-145_lapatinib_0nM_24h	DU-145	lapatinib	0nM	24h	Prostate
EKVX_lapatinib_0nM_24h	EKVX	lapatinib	0nM	24h	Lung
HCC-2998_lapatinib_0nM_24h	HCC-2998	lapatinib	0nM	24h	Colon
HCT-116_lapatinib_0nM_24h	HCT-116	lapatinib	0nM	24h	Colon
HCT-15_lapatinib_0nM_24h	HCT-15	lapatinib	0nM	24h	Colon
HOP-62_lapatinib_0nM_24h	HOP-62	lapatinib	0nM	24h	Lung
HOP-92_lapatinib_0nM_24h	HOP-92	lapatinib	0nM	24h	Lung
HS-578T_lapatinib_0nM_24h	HS-578T	lapatinib	0nM	24h	Breast
IGR-OV1_lapatinib_0nM_24h	IGR-OV1	lapatinib	0nM	24h	Ovarian
KM12_lapatinib_0nM_24h	KM12	lapatinib	0nM	24h	Colon
M14_lapatinib_0nM_24h	M14	lapatinib	0nM	24h	Melanoma
MALME-3M_lapatinib_0nM_24h	MALME-3M	lapatinib	0nM	24h	Melanoma
MCF7_lapatinib_0nM_24h	MCF7	lapatinib	0nM	24h	Breast
MDA-MB-231_lapatinib_0nM_24h	MDA-MB-231	lapatinib	0nM	24h	Breast
MDA-MB-435_lapatinib_0nM_24h	MDA-MB-435	lapatinib	0nM	24h	Melanoma
MDA-MB-468_lapatinib_0nM_24h	MDA-MB-468	lapatinib	0nM	24h	Breast
MOLT-4_lapatinib_0nM_24h	MOLT-4	lapatinib	0nM	24h	Leukemia
NCI-ADR-RES_lapatinib_0nM_24h	NCI-ADR-RES	lapatinib	0nM	24h	Ovarian
NCI-H226_lapatinib_0nM_24h	NCI-H226	lapatinib	0nM	24h	Lung
NCI-H23_lapatinib_0nM_24h	NCI-H23	lapatinib	0nM	24h	Lung
NCI-H322M_lapatinib_0nM_24h	NCI-H322M	lapatinib	0nM	24h	Lung
NCI-H460_lapatinib_0nM_24h	NCI-H460	lapatinib	0nM	24h	Lung
NCI-H522_lapatinib_0nM_24h	NCI-H522	lapatinib	0nM	24h	Lung
OVCAR-3_lapatinib_0nM_24h	OVCAR-3	lapatinib	0nM	24h	Ovarian
OVCAR-4_lapatinib_0nM_24h	OVCAR-4	lapatinib	0nM	24h	Ovarian
OVCAR-5_lapatinib_0nM_24h	OVCAR-5	lapatinib	0nM	24h	Ovarian
OVCAR-8_lapatinib_0nM_24h	OVCAR-8	lapatinib	0nM	24h	Ovarian
PC-3_lapatinib_0nM_24h	PC-3	lapatinib	0nM	24h	Prostate
RPMI-8226_lapatinib_0nM_24h	RPMI-8226	lapatinib	0nM	24h	Leukemia
RXF-393_lapatinib_0nM_24h	RXF-393	lapatinib	0nM	24h	Renal
SF-268_lapatinib_0nM_24h	SF-268	lapatinib	0nM	24h	CNS
SF-295_lapatinib_0nM_24h	SF-295	lapatinib	0nM	24h	CNS
SF-539_lapatinib_0nM_24h	SF-539	lapatinib	0nM	24h	CNS
SK-MEL-2_lapatinib_0nM_24h	SK-MEL-2	lapatinib	0nM	24h	Melanoma
SK-MEL-28_lapatinib_0nM_24h	SK-MEL-28	lapatinib	0nM	24h	Melanoma
SK-MEL-5_lapatinib_0nM_24h	SK-MEL-5	lapatinib	0nM	24h	Melanoma
SK-OV-3_lapatinib_0nM_24h	SK-OV-3	lapatinib	0nM	24h	Ovarian
SN12C_lapatinib_0nM_24h	SN12C	lapatinib	0nM	24h	Renal
SNB-19_lapatinib_0nM_24h	SNB-19	lapatinib	0nM	24h	CNS
SNB-75_lapatinib_0nM_24h	SNB-75	lapatinib	0nM	24h	CNS
SW-620_lapatinib_0nM_24h	SW-620	lapatinib	0nM	24h	Colon
T-47D_lapatinib_0nM_24h	T-47D	lapatinib	0nM	24h	Breast
TK-10_lapatinib_0nM_24h	TK-10	lapatinib	0nM	24h	Renal
U251_lapatinib_0nM_24h	U251	lapatinib	0nM	24h	CNS
UACC-257_lapatinib_0nM_24h	UACC-257	lapatinib	0nM	24h	Melanoma
UACC-62_lapatinib_0nM_24h	UACC-62	lapatinib	0nM	24h	Melanoma
UO-31_lapatinib_0nM_24h	UO-31	lapatinib	0nM	24h	Renal
786-0_paclitaxel_0nM_24h	786-0	paclitaxel	0nM	24h	Renal
A498_paclitaxel_0nM_24h	A498	paclitaxel	0nM	24h	Renal
A549_paclitaxel_0nM_24h	A549	paclitaxel	0nM	24h	Lung
ACHN_paclitaxel_0nM_24h	ACHN	paclitaxel	0nM	24h	Renal
BT-549_paclitaxel_0nM_24h	BT-549	paclitaxel	0nM	24h	Breast
CAKI-1_paclitaxel_0nM_24h	CAKI-1	paclitaxel	0nM	24h	Renal
CCRF-CEM_paclitaxel_0nM_24h	CCRF-CEM	paclitaxel	0nM	24h	Leukemia
COLO-205_paclitaxel_0nM_24h	COLO-205	paclitaxel	0nM	24h	Colon
DU-145_paclitaxel_0nM_24h	DU-145	paclitaxel	0nM	24h	Prostate
EKVX_paclitaxel_0nM_24h	EKVX	paclitaxel	0nM	24h	Lung
HCC-2998_paclitaxel_0nM_24h	HCC-2998	paclitaxel	0nM	24h	Colon
HCT-116_paclitaxel_0nM_24h	HCT-116	paclitaxel	0nM	24h	Colon
HCT-15_paclitaxel_0nM_24h	HCT-15	paclitaxel	0nM	24h	Colon
HOP-62_paclitaxel_0nM_24h	HOP-62	paclitaxel	0nM	24h	Lung
HOP-92_paclitaxel_0nM_24h	HOP-92	paclitaxel	0nM	24h	Lung
HS-578T_paclitaxel_0nM_24h	HS-578T	paclitaxel	0nM	24h	Breast
HT29_paclitaxel_0nM_24h	HT29	paclitaxel	0nM	24h	Colon
IGR-OV1_paclitaxel_0nM_24h	IGR-OV1	paclitaxel	0nM	24h	Ovarian
K-562_paclitaxel_0nM_24h	K-562	paclitaxel	0nM	24h	Leukemia
KM12_paclitaxel_0nM_24h	KM12	paclitaxel	0nM	24h	Colon
LOX_paclitaxel_0nM_24h	LOX	paclitaxel	0nM	24h	Melanoma
M14_paclitaxel_0nM_24h	M14	paclitaxel	0nM	24h	Melanoma
MALME-3M_paclitaxel_0nM_24h	MALME-3M	paclitaxel	0nM	24h	Melanoma
MCF7_paclitaxel_0nM_24h	MCF7	paclitaxel	0nM	24h	Breast
MDA-MB-231_paclitaxel_0nM_24h	MDA-MB-231	paclitaxel	0nM	24h	Breast
MDA-MB-435_paclitaxel_0nM_24h	MDA-MB-435	paclitaxel	0nM	24h	Melanoma
MDA-MB-468_paclitaxel_0nM_24h	MDA-MB-468	paclitaxel	0nM	24h	Breast
MOLT-4_paclitaxel_0nM_24h	MOLT-4	paclitaxel	0nM	24h	Leukemia
NCI-ADR-RES_paclitaxel_0nM_24h	NCI-ADR-RES	paclitaxel	0nM	24h	Ovarian
NCI-H226_paclitaxel_0nM_24h	NCI-H226	paclitaxel	0nM	24h	Lung
NCI-H23_paclitaxel_0nM_24h	NCI-H23	paclitaxel	0nM	24h	Lung
NCI-H322M_paclitaxel_0nM_24h	NCI-H322M	paclitaxel	0nM	24h	Lung
NCI-H460_paclitaxel_0nM_24h	NCI-H460	paclitaxel	0nM	24h	Lung
NCI-H522_paclitaxel_0nM_24h	NCI-H522	paclitaxel	0nM	24h	Lung
OVCAR-3_paclitaxel_0nM_24h	OVCAR-3	paclitaxel	0nM	24h	Ovarian
OVCAR-4_paclitaxel_0nM_24h	OVCAR-4	paclitaxel	0nM	24h	Ovarian
OVCAR-5_paclitaxel_0nM_24h	OVCAR-5	paclitaxel	0nM	24h	Ovarian
OVCAR-8_paclitaxel_0nM_24h	OVCAR-8	paclitaxel	0nM	24h	Ovarian
PC-3_paclitaxel_0nM_24h	PC-3	paclitaxel	0nM	24h	Prostate
RPMI-8226_paclitaxel_0nM_24h	RPMI-8226	paclitaxel	0nM	24h	Leukemia
RXF-393_paclitaxel_0nM_24h	RXF-393	paclitaxel	0nM	24h	Renal
SF-268_paclitaxel_0nM_24h	SF-268	paclitaxel	0nM	24h	CNS
SF-295_paclitaxel_0nM_24h	SF-295	paclitaxel	0nM	24h	CNS
SF-539_paclitaxel_0nM_24h	SF-539	paclitaxel	0nM	24h	CNS
SK-MEL-2_paclitaxel_0nM_24h	SK-MEL-2	paclitaxel	0nM	24h	Melanoma
SK-MEL-28_paclitaxel_0nM_24h	SK-MEL-28	paclitaxel	0nM	24h	Melanoma
SK-MEL-5_paclitaxel_0nM_24h	SK-MEL-5	paclitaxel	0nM	24h	Melanoma
SK-OV-3_paclitaxel_0nM_24h	SK-OV-3	paclitaxel	0nM	24h	Ovarian
SN12C_paclitaxel_0nM_24h	SN12C	paclitaxel	0nM	24h	Renal
SNB-19_paclitaxel_0nM_24h	SNB-19	paclitaxel	0nM	24h	CNS
SNB-75_paclitaxel_0nM_24h	SNB-75	paclitaxel	0nM	24h	CNS
SR_paclitaxel_0nM_24h	SR	paclitaxel	0nM	24h	Leukemia
SW-620_paclitaxel_0nM_24h	SW-620	paclitaxel	0nM	24h	Colon
T-47D_paclitaxel_0nM_24h	T-47D	paclitaxel	0nM	24h	Breast
TK-10_paclitaxel_0nM_24h	TK-10	paclitaxel	0nM	24h	Renal
U251_paclitaxel_0nM_24h	U251	paclitaxel	0nM	24h	CNS
UACC-257_paclitaxel_0nM_24h	UACC-257	paclitaxel	0nM	24h	Melanoma
UACC-62_paclitaxel_0nM_24h	UACC-62	paclitaxel	0nM	24h	Melanoma
UO-31_paclitaxel_0nM_24h	UO-31	paclitaxel	0nM	24h	Renal
786-0_sirolimus_0nM_24h	786-0	sirolimus	0nM	24h	Renal
A498_sirolimus_0nM_24h	A498	sirolimus	0nM	24h	Renal
A549_sirolimus_0nM_24h	A549	sirolimus	0nM	24h	Lung
ACHN_sirolimus_0nM_24h	ACHN	sirolimus	0nM	24h	Renal
BT-549_sirolimus_0nM_24h	BT-549	sirolimus	0nM	24h	Breast
CAKI-1_sirolimus_0nM_24h	CAKI-1	sirolimus	0nM	24h	Renal
CCRF-CEM_sirolimus_0nM_24h	CCRF-CEM	sirolimus	0nM	24h	Leukemia
COLO-205_sirolimus_0nM_24h	COLO-205	sirolimus	0nM	24h	Colon
DU-145_sirolimus_0nM_24h	DU-145	sirolimus	0nM	24h	Prostate
EKVX_sirolimus_0nM_24h	EKVX	sirolimus	0nM	24h	Lung
HCC-2998_sirolimus_0nM_24h	HCC-2998	sirolimus	0nM	24h	Colon
HCT-116_sirolimus_0nM_24h	HCT-116	sirolimus	0nM	24h	Colon
HCT-15_sirolimus_0nM_24h	HCT-15	sirolimus	0nM	24h	Colon
HL-60_sirolimus_0nM_24h	HL-60	sirolimus	0nM	24h	Leukemia
HOP-62_sirolimus_0nM_24h	HOP-62	sirolimus	0nM	24h	Lung
HOP-92_sirolimus_0nM_24h	HOP-92	sirolimus	0nM	24h	Lung
HT29_sirolimus_0nM_24h	HT29	sirolimus	0nM	24h	Colon
IGR-OV1_sirolimus_0nM_24h	IGR-OV1	sirolimus	0nM	24h	Ovarian
K-562_sirolimus_0nM_24h	K-562	sirolimus	0nM	24h	Leukemia
KM12_sirolimus_0nM_24h	KM12	sirolimus	0nM	24h	Colon
LOX_sirolimus_0nM_24h	LOX	sirolimus	0nM	24h	Melanoma
M14_sirolimus_0nM_24h	M14	sirolimus	0nM	24h	Melanoma
MALME-3M_sirolimus_0nM_24h	MALME-3M	sirolimus	0nM	24h	Melanoma
MCF7_sirolimus_0nM_24h	MCF7	sirolimus	0nM	24h	Breast
MDA-MB-231_sirolimus_0nM_24h	MDA-MB-231	sirolimus	0nM	24h	Breast
MDA-MB-435_sirolimus_0nM_24h	MDA-MB-435	sirolimus	0nM	24h	Melanoma
MDA-MB-468_sirolimus_0nM_24h	MDA-MB-468	sirolimus	0nM	24h	Breast
MOLT-4_sirolimus_0nM_24h	MOLT-4	sirolimus	0nM	24h	Leukemia
NCI-ADR-RES_sirolimus_0nM_24h	NCI-ADR-RES	sirolimus	0nM	24h	Ovarian
NCI-H226_sirolimus_0nM_24h	NCI-H226	sirolimus	0nM	24h	Lung
NCI-H23_sirolimus_0nM_24h	NCI-H23	sirolimus	0nM	24h	Lung
NCI-H322M_sirolimus_0nM_24h	NCI-H322M	sirolimus	0nM	24h	Lung
NCI-H460_sirolimus_0nM_24h	NCI-H460	sirolimus	0nM	24h	Lung
NCI-H522_sirolimus_0nM_24h	NCI-H522	sirolimus	0nM	24h	Lung
OVCAR-3_sirolimus_0nM_24h	OVCAR-3	sirolimus	0nM	24h	Ovarian
OVCAR-4_sirolimus_0nM_24h	OVCAR-4	sirolimus	0nM	24h	Ovarian
OVCAR-5_sirolimus_0nM_24h	OVCAR-5	sirolimus	0nM	24h	Ovarian
OVCAR-8_sirolimus_0nM_24h	OVCAR-8	sirolimus	0nM	24h	Ovarian
PC-3_sirolimus_0nM_24h	PC-3	sirolimus	0nM	24h	Prostate
RXF-393_sirolimus_0nM_24h	RXF-393	sirolimus	0nM	24h	Renal
SF-268_sirolimus_0nM_24h	SF-268	sirolimus	0nM	24h	CNS
SF-295_sirolimus_0nM_24h	SF-295	sirolimus	0nM	24h	CNS
SF-539_sirolimus_0nM_24h	SF-539	sirolimus	0nM	24h	CNS
SK-MEL-2_sirolimus_0nM_24h	SK-MEL-2	sirolimus	0nM	24h	Melanoma
SK-MEL-5_sirolimus_0nM_24h	SK-MEL-5	sirolimus	0nM	24h	Melanoma
SK-OV-3_sirolimus_0nM_24h	SK-OV-3	sirolimus	0nM	24h	Ovarian
SN12C_sirolimus_0nM_24h	SN12C	sirolimus	0nM	24h	Renal
SNB-19_sirolimus_0nM_24h	SNB-19	sirolimus	0nM	24h	CNS
SNB-75_sirolimus_0nM_24h	SNB-75	sirolimus	0nM	24h	CNS
SW-620_sirolimus_0nM_24h	SW-620	sirolimus	0nM	24h	Colon
T-47D_sirolimus_0nM_24h	T-47D	sirolimus	0nM	24h	Breast
TK-10_sirolimus_0nM_24h	TK-10	sirolimus	0nM	24h	Renal
U251_sirolimus_0nM_24h	U251	sirolimus	0nM	24h	CNS
UACC-257_sirolimus_0nM_24h	UACC-257	sirolimus	0nM	24h	Melanoma
UACC-62_sirolimus_0nM_24h	UACC-62	sirolimus	0nM	24h	Melanoma
UO-31_sirolimus_0nM_24h	UO-31	sirolimus	0nM	24h	Renal
786-0_sorafenib_0nM_24h	786-0	sorafenib	0nM	24h	Renal
A498_sorafenib_0nM_24h	A498	sorafenib	0nM	24h	Renal
A549_sorafenib_0nM_24h	A549	sorafenib	0nM	24h	Lung
ACHN_sorafenib_0nM_24h	ACHN	sorafenib	0nM	24h	Renal
BT-549_sorafenib_0nM_24h	BT-549	sorafenib	0nM	24h	Breast
CAKI-1_sorafenib_0nM_24h	CAKI-1	sorafenib	0nM	24h	Renal
CCRF-CEM_sorafenib_0nM_24h	CCRF-CEM	sorafenib	0nM	24h	Leukemia
COLO-205_sorafenib_0nM_24h	COLO-205	sorafenib	0nM	24h	Colon
DU-145_sorafenib_0nM_24h	DU-145	sorafenib	0nM	24h	Prostate
EKVX_sorafenib_0nM_24h	EKVX	sorafenib	0nM	24h	Lung
HCC-2998_sorafenib_0nM_24h	HCC-2998	sorafenib	0nM	24h	Colon
HCT-116_sorafenib_0nM_24h	HCT-116	sorafenib	0nM	24h	Colon
HCT-15_sorafenib_0nM_24h	HCT-15	sorafenib	0nM	24h	Colon
HOP-62_sorafenib_0nM_24h	HOP-62	sorafenib	0nM	24h	Lung
HOP-92_sorafenib_0nM_24h	HOP-92	sorafenib	0nM	24h	Lung
HS-578T_sorafenib_0nM_24h	HS-578T	sorafenib	0nM	24h	Breast
HT29_sorafenib_0nM_24h	HT29	sorafenib	0nM	24h	Colon
IGR-OV1_sorafenib_0nM_24h	IGR-OV1	sorafenib	0nM	24h	Ovarian
K-562_sorafenib_0nM_24h	K-562	sorafenib	0nM	24h	Leukemia
KM12_sorafenib_0nM_24h	KM12	sorafenib	0nM	24h	Colon
LOX_sorafenib_0nM_24h	LOX	sorafenib	0nM	24h	Melanoma
MALME-3M_sorafenib_0nM_24h	MALME-3M	sorafenib	0nM	24h	Melanoma
MCF7_sorafenib_0nM_24h	MCF7	sorafenib	0nM	24h	Breast
MDA-MB-231_sorafenib_0nM_24h	MDA-MB-231	sorafenib	0nM	24h	Breast
MDA-MB-435_sorafenib_0nM_24h	MDA-MB-435	sorafenib	0nM	24h	Melanoma
MDA-MB-468_sorafenib_0nM_24h	MDA-MB-468	sorafenib	0nM	24h	Breast
MOLT-4_sorafenib_0nM_24h	MOLT-4	sorafenib	0nM	24h	Leukemia
NCI-ADR-RES_sorafenib_0nM_24h	NCI-ADR-RES	sorafenib	0nM	24h	Ovarian
NCI-H226_sorafenib_0nM_24h	NCI-H226	sorafenib	0nM	24h	Lung
NCI-H23_sorafenib_0nM_24h	NCI-H23	sorafenib	0nM	24h	Lung
NCI-H322M_sorafenib_0nM_24h	NCI-H322M	sorafenib	0nM	24h	Lung
NCI-H460_sorafenib_0nM_24h	NCI-H460	sorafenib	0nM	24h	Lung
NCI-H522_sorafenib_0nM_24h	NCI-H522	sorafenib	0nM	24h	Lung
OVCAR-3_sorafenib_0nM_24h	OVCAR-3	sorafenib	0nM	24h	Ovarian
OVCAR-4_sorafenib_0nM_24h	OVCAR-4	sorafenib	0nM	24h	Ovarian
OVCAR-5_sorafenib_0nM_24h	OVCAR-5	sorafenib	0nM	24h	Ovarian
OVCAR-8_sorafenib_0nM_24h	OVCAR-8	sorafenib	0nM	24h	Ovarian
PC-3_sorafenib_0nM_24h	PC-3	sorafenib	0nM	24h	Prostate
RPMI-8226_sorafenib_0nM_24h	RPMI-8226	sorafenib	0nM	24h	Leukemia
RXF-393_sorafenib_0nM_24h	RXF-393	sorafenib	0nM	24h	Renal
SF-268_sorafenib_0nM_24h	SF-268	sorafenib	0nM	24h	CNS
SF-295_sorafenib_0nM_24h	SF-295	sorafenib	0nM	24h	CNS
SF-539_sorafenib_0nM_24h	SF-539	sorafenib	0nM	24h	CNS
SK-MEL-2_sorafenib_0nM_24h	SK-MEL-2	sorafenib	0nM	24h	Melanoma
SK-MEL-28_sorafenib_0nM_24h	SK-MEL-28	sorafenib	0nM	24h	Melanoma
SK-MEL-5_sorafenib_0nM_24h	SK-MEL-5	sorafenib	0nM	24h	Melanoma
SK-OV-3_sorafenib_0nM_24h	SK-OV-3	sorafenib	0nM	24h	Ovarian
SN12C_sorafenib_0nM_24h	SN12C	sorafenib	0nM	24h	Renal
SNB-19_sorafenib_0nM_24h	SNB-19	sorafenib	0nM	24h	CNS
SNB-75_sorafenib_0nM_24h	SNB-75	sorafenib	0nM	24h	CNS
SW-620_sorafenib_0nM_24h	SW-620	sorafenib	0nM	24h	Colon
T-47D_sorafenib_0nM_24h	T-47D	sorafenib	0nM	24h	Breast
TK-10_sorafenib_0nM_24h	TK-10	sorafenib	0nM	24h	Renal
U251_sorafenib_0nM_24h	U251	sorafenib	0nM	24h	CNS
UACC-257_sorafenib_0nM_24h	UACC-257	sorafenib	0nM	24h	Melanoma
UACC-62_sorafenib_0nM_24h	UACC-62	sorafenib	0nM	24h	Melanoma
UO-31_sorafenib_0nM_24h	UO-31	sorafenib	0nM	24h	Renal
786-0_sunitinib_0nM_24h	786-0	sunitinib	0nM	24h	Renal
A498_sunitinib_0nM_24h	A498	sunitinib	0nM	24h	Renal
A549_sunitinib_0nM_24h	A549	sunitinib	0nM	24h	Lung
ACHN_sunitinib_0nM_24h	ACHN	sunitinib	0nM	24h	Renal
BT-549_sunitinib_0nM_24h	BT-549	sunitinib	0nM	24h	Breast
CAKI-1_sunitinib_0nM_24h	CAKI-1	sunitinib	0nM	24h	Renal
CCRF-CEM_sunitinib_0nM_24h	CCRF-CEM	sunitinib	0nM	24h	Leukemia
COLO-205_sunitinib_0nM_24h	COLO-205	sunitinib	0nM	24h	Colon
DU-145_sunitinib_0nM_24h	DU-145	sunitinib	0nM	24h	Prostate
EKVX_sunitinib_0nM_24h	EKVX	sunitinib	0nM	24h	Lung
HCC-2998_sunitinib_0nM_24h	HCC-2998	sunitinib	0nM	24h	Colon
HCT-116_sunitinib_0nM_24h	HCT-116	sunitinib	0nM	24h	Colon
HCT-15_sunitinib_0nM_24h	HCT-15	sunitinib	0nM	24h	Colon
HL-60_sunitinib_0nM_24h	HL-60	sunitinib	0nM	24h	Leukemia
HOP-62_sunitinib_0nM_24h	HOP-62	sunitinib	0nM	24h	Lung
HOP-92_sunitinib_0nM_24h	HOP-92	sunitinib	0nM	24h	Lung
HS-578T_sunitinib_0nM_24h	HS-578T	sunitinib	0nM	24h	Breast
HT29_sunitinib_0nM_24h	HT29	sunitinib	0nM	24h	Colon
IGR-OV1_sunitinib_0nM_24h	IGR-OV1	sunitinib	0nM	24h	Ovarian
K-562_sunitinib_0nM_24h	K-562	sunitinib	0nM	24h	Leukemia
KM12_sunitinib_0nM_24h	KM12	sunitinib	0nM	24h	Colon
LOX_sunitinib_0nM_24h	LOX	sunitinib	0nM	24h	Melanoma
M14_sunitinib_0nM_24h	M14	sunitinib	0nM	24h	Melanoma
MCF7_sunitinib_0nM_24h	MCF7	sunitinib	0nM	24h	Breast
MDA-MB-231_sunitinib_0nM_24h	MDA-MB-231	sunitinib	0nM	24h	Breast
MDA-MB-435_sunitinib_0nM_24h	MDA-MB-435	sunitinib	0nM	24h	Melanoma
MDA-MB-468_sunitinib_0nM_24h	MDA-MB-468	sunitinib	0nM	24h	Breast
MOLT-4_sunitinib_0nM_24h	MOLT-4	sunitinib	0nM	24h	Leukemia
NCI-ADR-RES_sunitinib_0nM_24h	NCI-ADR-RES	sunitinib	0nM	24h	Ovarian
NCI-H226_sunitinib_0nM_24h	NCI-H226	sunitinib	0nM	24h	Lung
NCI-H23_sunitinib_0nM_24h	NCI-H23	sunitinib	0nM	24h	Lung
NCI-H322M_sunitinib_0nM_24h	NCI-H322M	sunitinib	0nM	24h	Lung
NCI-H460_sunitinib_0nM_24h	NCI-H460	sunitinib	0nM	24h	Lung
NCI-H522_sunitinib_0nM_24h	NCI-H522	sunitinib	0nM	24h	Lung
OVCAR-3_sunitinib_0nM_24h	OVCAR-3	sunitinib	0nM	24h	Ovarian
OVCAR-4_sunitinib_0nM_24h	OVCAR-4	sunitinib	0nM	24h	Ovarian
OVCAR-5_sunitinib_0nM_24h	OVCAR-5	sunitinib	0nM	24h	Ovarian
OVCAR-8_sunitinib_0nM_24h	OVCAR-8	sunitinib	0nM	24h	Ovarian
PC-3_sunitinib_0nM_24h	PC-3	sunitinib	0nM	24h	Prostate
RPMI-8226_sunitinib_0nM_24h	RPMI-8226	sunitinib	0nM	24h	Leukemia
RXF-393_sunitinib_0nM_24h	RXF-393	sunitinib	0nM	24h	Renal
SF-295_sunitinib_0nM_24h	SF-295	sunitinib	0nM	24h	CNS
SF-539_sunitinib_0nM_24h	SF-539	sunitinib	0nM	24h	CNS
SK-MEL-2_sunitinib_0nM_24h	SK-MEL-2	sunitinib	0nM	24h	Melanoma
SK-MEL-28_sunitinib_0nM_24h	SK-MEL-28	sunitinib	0nM	24h	Melanoma
SK-MEL-5_sunitinib_0nM_24h	SK-MEL-5	sunitinib	0nM	24h	Melanoma
SN12C_sunitinib_0nM_24h	SN12C	sunitinib	0nM	24h	Renal
SNB-19_sunitinib_0nM_24h	SNB-19	sunitinib	0nM	24h	CNS
SNB-75_sunitinib_0nM_24h	SNB-75	sunitinib	0nM	24h	CNS
SR_sunitinib_0nM_24h	SR	sunitinib	0nM	24h	Leukemia
SW-620_sunitinib_0nM_24h	SW-620	sunitinib	0nM	24h	Colon
T-47D_sunitinib_0nM_24h	T-47D	sunitinib	0nM	24h	Breast
TK-10_sunitinib_0nM_24h	TK-10	sunitinib	0nM	24h	Renal
U251_sunitinib_0nM_24h	U251	sunitinib	0nM	24h	CNS
UACC-62_sunitinib_0nM_24h	UACC-62	sunitinib	0nM	24h	Melanoma
UO-31_sunitinib_0nM_24h	UO-31	sunitinib	0nM	24h	Renal
786-0_topotecan_0nM_24h	786-0	topotecan	0nM	24h	Renal
A498_topotecan_0nM_24h	A498	topotecan	0nM	24h	Renal
A549_topotecan_0nM_24h	A549	topotecan	0nM	24h	Lung
ACHN_topotecan_0nM_24h	ACHN	topotecan	0nM	24h	Renal
BT-549_topotecan_0nM_24h	BT-549	topotecan	0nM	24h	Breast
CAKI-1_topotecan_0nM_24h	CAKI-1	topotecan	0nM	24h	Renal
CCRF-CEM_topotecan_0nM_24h	CCRF-CEM	topotecan	0nM	24h	Leukemia
COLO-205_topotecan_0nM_24h	COLO-205	topotecan	0nM	24h	Colon
DU-145_topotecan_0nM_24h	DU-145	topotecan	0nM	24h	Prostate
EKVX_topotecan_0nM_24h	EKVX	topotecan	0nM	24h	Lung
HCC-2998_topotecan_0nM_24h	HCC-2998	topotecan	0nM	24h	Colon
HCT-116_topotecan_0nM_24h	HCT-116	topotecan	0nM	24h	Colon
HCT-15_topotecan_0nM_24h	HCT-15	topotecan	0nM	24h	Colon
HL-60_topotecan_0nM_24h	HL-60	topotecan	0nM	24h	Leukemia
HOP-62_topotecan_0nM_24h	HOP-62	topotecan	0nM	24h	Lung
HOP-92_topotecan_0nM_24h	HOP-92	topotecan	0nM	24h	Lung
HS-578T_topotecan_0nM_24h	HS-578T	topotecan	0nM	24h	Breast
HT29_topotecan_0nM_24h	HT29	topotecan	0nM	24h	Colon
IGR-OV1_topotecan_0nM_24h	IGR-OV1	topotecan	0nM	24h	Ovarian
KM12_topotecan_0nM_24h	KM12	topotecan	0nM	24h	Colon
LOX_topotecan_0nM_24h	LOX	topotecan	0nM	24h	Melanoma
M14_topotecan_0nM_24h	M14	topotecan	0nM	24h	Melanoma
MALME-3M_topotecan_0nM_24h	MALME-3M	topotecan	0nM	24h	Melanoma
MCF7_topotecan_0nM_24h	MCF7	topotecan	0nM	24h	Breast
MDA-MB-231_topotecan_0nM_24h	MDA-MB-231	topotecan	0nM	24h	Breast
MDA-MB-435_topotecan_0nM_24h	MDA-MB-435	topotecan	0nM	24h	Melanoma
MDA-MB-468_topotecan_0nM_24h	MDA-MB-468	topotecan	0nM	24h	Breast
MOLT-4_topotecan_0nM_24h	MOLT-4	topotecan	0nM	24h	Leukemia
NCI-ADR-RES_topotecan_0nM_24h	NCI-ADR-RES	topotecan	0nM	24h	Ovarian
NCI-H226_topotecan_0nM_24h	NCI-H226	topotecan	0nM	24h	Lung
NCI-H23_topotecan_0nM_24h	NCI-H23	topotecan	0nM	24h	Lung
NCI-H322M_topotecan_0nM_24h	NCI-H322M	topotecan	0nM	24h	Lung
NCI-H460_topotecan_0nM_24h	NCI-H460	topotecan	0nM	24h	Lung
NCI-H522_topotecan_0nM_24h	NCI-H522	topotecan	0nM	24h	Lung
OVCAR-3_topotecan_0nM_24h	OVCAR-3	topotecan	0nM	24h	Ovarian
OVCAR-4_topotecan_0nM_24h	OVCAR-4	topotecan	0nM	24h	Ovarian
OVCAR-5_topotecan_0nM_24h	OVCAR-5	topotecan	0nM	24h	Ovarian
OVCAR-8_topotecan_0nM_24h	OVCAR-8	topotecan	0nM	24h	Ovarian
PC-3_topotecan_0nM_24h	PC-3	topotecan	0nM	24h	Prostate
RPMI-8226_topotecan_0nM_24h	RPMI-8226	topotecan	0nM	24h	Leukemia
RXF-393_topotecan_0nM_24h	RXF-393	topotecan	0nM	24h	Renal
SF-268_topotecan_0nM_24h	SF-268	topotecan	0nM	24h	CNS
